Candidate_ID,Role_Applied,Department,Source,Application_Date,Screening_Date,Interview_Date,Offer_Date,Hire_Date,Final_Status
C00082,Product Manager,HR,LinkedIn,2025-06-02,2025-06-12,2025-06-16,2025-06-22,2025-07-03,Hired
C00083,Product Manager,HR,AngelList,2024-03-25,2024-03-30,2024-04-06,2024-04-12,2024-04-19,Hired
C00084,Data Scientist,Marketing,AngelList,2025-04-30,,,,,Rejected
C00085,Marketing Specialist,Product,Naukri,2024-09-17,,,,,Dropped
C00086,Product Manager,Product,Company Website,2025-07-15,2025-07-16,,,,Dropped
C00087,Marketing Specialist,Tech,Referral,2024-02-08,2024-02-10,,,,Rejected
C00088,Marketing Specialist,Sales,Referral,2025-08-21,2025-08-29,2025-09-05,2025-09-09,,Rejected
C00089,Marketing Specialist,Marketing,Naukri,2025-02-06,2025-02-09,2025-02-16,2025-02-24,,Dropped
C00090,Software Engineer,Marketing,Company Website,2025-04-03,2025-04-06,,,,Rejected
C00091,Sales Executive,Tech,Naukri,2024-08-13,2024-08-18,2024-08-26,,,Hired
C00092,Marketing Specialist,Marketing,Referral,2025-02-21,2025-02-23,2025-03-02,,,Hired
C00093,Data Scientist,Sales,Naukri,2024-09-12,,,,,Hired
C00094,Sales Executive,HR,Company Website,2024-07-06,2024-07-16,,,,Rejected
C00095,Marketing Specialist,HR,LinkedIn,2024-05-30,2024-06-06,2024-06-18,,,Hired
C00096,Data Scientist,Sales,Referral,2023-12-14,2023-12-17,2023-12-22,2023-12-30,2024-01-17,Hired
C00097,Data Scientist,HR,AngelList,2023-11-14,2023-11-18,2023-11-27,2023-12-03,,Rejected
C00098,HR Manager,Product,Naukri,2025-07-07,2025-07-12,,,,Hired
C00099,HR Manager,Marketing,Naukri,2024-10-15,2024-10-16,2024-10-26,2024-11-05,,Dropped
C00100,Product Manager,Sales,LinkedIn,2024-01-12,2024-01-14,2024-01-19,2024-01-25,,Rejected
C00101,Marketing Specialist,Product,Naukri,2024-06-01,2024-06-10,,,,Dropped
C00102,Marketing Specialist,Tech,Referral,2024-12-07,2024-12-15,2024-12-27,,,Dropped
C00103,Sales Executive,Product,Company Website,2024-12-24,2025-01-03,2025-01-08,2025-01-12,2025-01-20,Hired
C00104,Data Scientist,Tech,AngelList,2024-06-12,2024-06-21,2024-07-03,2024-07-09,,Rejected
C00105,Marketing Specialist,Tech,Naukri,2025-05-06,2025-05-16,,,,Dropped
C00106,Product Manager,Product,Company Website,2025-05-04,2025-05-11,2025-05-13,2025-05-21,2025-06-08,Hired
C00107,Software Engineer,Tech,Company Website,2024-08-12,2024-08-17,2024-08-25,,,Hired
C00108,Data Scientist,Product,AngelList,2024-10-31,2024-11-09,2024-11-17,,,Dropped
C00109,Software Engineer,Marketing,Referral,2024-11-23,2024-11-29,,,,Rejected
C00110,Product Manager,Marketing,AngelList,2023-10-03,2023-10-12,2023-10-16,2023-10-23,2023-10-29,Hired
C00111,HR Manager,Tech,Naukri,2023-09-23,2023-09-24,,,,Hired
C00112,Product Manager,Marketing,LinkedIn,2025-05-03,,,,,Rejected
C00113,Software Engineer,Product,Naukri,2025-09-06,2025-09-16,2025-09-23,,,Rejected
C00114,Data Scientist,Sales,Referral,2025-05-25,2025-05-28,2025-06-01,,,Hired
C00115,Sales Executive,Sales,Naukri,2024-03-20,2024-03-26,2024-04-02,2024-04-05,,Dropped
C00116,Marketing Specialist,Sales,AngelList,2025-06-28,2025-07-01,2025-07-12,2025-07-13,2025-07-21,Hired
C00117,Product Manager,Product,Company Website,2025-07-21,2025-07-23,,,,Rejected
C00118,Data Scientist,Tech,Referral,2024-11-15,2024-11-19,2024-11-24,2024-11-29,2024-12-12,Hired
C00119,Marketing Specialist,Product,Naukri,2024-01-04,2024-01-09,2024-01-10,,,Hired
C00120,HR Manager,Tech,LinkedIn,2024-05-30,2024-06-07,2024-06-14,2024-06-24,2024-06-28,Hired
C00121,HR Manager,Tech,AngelList,2025-01-10,2025-01-12,2025-01-15,,,Dropped
C00122,Marketing Specialist,Marketing,AngelList,2025-07-11,2025-07-12,2025-07-16,2025-07-23,2025-08-03,Hired
C00123,HR Manager,HR,LinkedIn,2024-06-29,2024-07-08,2024-07-20,2024-07-22,,Dropped
C00124,Data Scientist,HR,Referral,2023-09-18,2023-09-19,,,,Dropped
C00125,Product Manager,Marketing,LinkedIn,2024-02-16,2024-02-18,2024-02-28,,,Rejected
C00126,Data Scientist,Tech,Referral,2024-05-17,2024-05-20,2024-05-27,2024-06-03,2024-06-04,Hired
C00127,Data Scientist,Tech,AngelList,2025-02-20,2025-02-24,2025-03-02,2025-03-03,2025-03-09,Hired
C00128,Marketing Specialist,Marketing,Referral,2024-05-12,2024-05-20,,,,Rejected
C00129,Sales Executive,Sales,Naukri,2024-12-30,2025-01-01,2025-01-16,,,Rejected
C00130,Sales Executive,Sales,AngelList,2024-02-29,2024-03-05,2024-03-19,2024-03-28,,Dropped
C00131,Product Manager,Product,AngelList,2024-08-19,,,,,Hired
C00132,Marketing Specialist,Marketing,AngelList,2025-06-02,2025-06-03,2025-06-18,2025-06-20,2025-07-10,Hired
C00133,Sales Executive,Marketing,LinkedIn,2024-09-08,2024-09-18,2024-09-20,,,Dropped
C00134,HR Manager,Product,Naukri,2024-12-06,2024-12-12,,,,Dropped
C00135,Sales Executive,Sales,Referral,2024-03-18,2024-03-20,2024-03-31,2024-04-10,,Dropped
C00136,HR Manager,Sales,Naukri,2024-06-11,2024-06-21,2024-06-29,,,Hired
C00137,Product Manager,HR,AngelList,2024-10-17,2024-10-25,,,,Rejected
C00138,Data Scientist,HR,AngelList,2025-02-05,,,,,Hired
C00139,Data Scientist,HR,Company Website,2024-06-07,,,,,Hired
C00140,Sales Executive,Tech,Naukri,2023-12-16,2023-12-19,2023-12-23,2024-01-01,2024-01-13,Hired
C00141,HR Manager,Product,AngelList,2025-06-27,,,,,Dropped
C00142,Software Engineer,Sales,Naukri,2025-08-04,2025-08-06,2025-08-08,,,Rejected
C00143,Software Engineer,Tech,LinkedIn,2025-07-01,2025-07-05,2025-07-07,2025-07-12,,Dropped
C00144,Software Engineer,Marketing,LinkedIn,2025-06-25,2025-06-28,2025-06-29,2025-07-04,,Rejected
C00145,Data Scientist,Product,Referral,2023-12-06,,,,,Rejected
C00146,Marketing Specialist,Tech,Referral,2025-04-18,,,,,Hired
C00147,Data Scientist,Tech,AngelList,2024-06-12,2024-06-16,2024-06-27,,,Rejected
C00148,Marketing Specialist,Marketing,Referral,2025-07-13,2025-07-21,2025-07-30,2025-08-02,,Dropped
C00149,HR Manager,Tech,AngelList,2024-07-21,2024-07-26,2024-08-02,2024-08-04,2024-08-10,Hired
C00150,Sales Executive,Tech,AngelList,2023-11-02,2023-11-05,2023-11-16,,,Dropped
C00151,Software Engineer,HR,Company Website,2024-03-30,,,,,Hired
C00152,HR Manager,Marketing,Company Website,2024-04-01,2024-04-07,2024-04-14,2024-04-16,,Rejected
C00153,HR Manager,Marketing,Company Website,2024-01-04,2024-01-06,2024-01-07,2024-01-09,,Rejected
C00154,Sales Executive,Marketing,Company Website,2024-10-22,2024-10-24,2024-10-27,2024-10-31,,Dropped
C00155,HR Manager,Product,LinkedIn,2025-04-13,2025-04-23,2025-05-08,,,Rejected
C00156,Sales Executive,Marketing,Naukri,2024-01-10,,,,,Rejected
C00157,Product Manager,Sales,LinkedIn,2024-12-27,2025-01-06,2025-01-15,2025-01-25,,Rejected
C00158,Sales Executive,Product,AngelList,2025-07-29,2025-08-01,,,,Rejected
C00159,Software Engineer,Product,Naukri,2024-01-03,2024-01-07,,,,Rejected
C00160,Marketing Specialist,Sales,Company Website,2025-02-08,2025-02-14,2025-02-23,2025-03-04,2025-03-24,Hired
C00161,Marketing Specialist,Marketing,Company Website,2024-03-21,2024-03-23,2024-04-07,2024-04-14,,Dropped
C00162,Software Engineer,Sales,Company Website,2025-02-08,2025-02-18,2025-03-04,2025-03-09,2025-03-21,Hired
C00163,Marketing Specialist,Tech,Naukri,2024-12-19,,,,,Hired
C00164,Sales Executive,HR,AngelList,2024-06-22,2024-06-24,,,,Dropped
C00165,Product Manager,HR,AngelList,2025-05-13,,,,,Hired
C00166,Marketing Specialist,Tech,Naukri,2023-10-01,2023-10-08,,,,Hired
C00167,Product Manager,HR,Referral,2024-04-28,2024-05-03,2024-05-15,2024-05-16,,Dropped
C00168,Software Engineer,Tech,Company Website,2023-09-27,2023-10-04,2023-10-19,2023-10-21,,Rejected
C00169,Product Manager,Tech,LinkedIn,2025-06-05,2025-06-13,2025-06-18,,,Rejected
C00170,HR Manager,HR,AngelList,2025-07-02,2025-07-06,2025-07-16,2025-07-21,,Dropped
C00171,Data Scientist,Tech,LinkedIn,2025-08-27,2025-09-02,,,,Hired
C00172,HR Manager,HR,AngelList,2025-06-18,2025-06-28,2025-07-12,2025-07-21,,Dropped
C00173,Software Engineer,Marketing,LinkedIn,2025-02-28,,,,,Rejected
C00174,Marketing Specialist,HR,AngelList,2025-08-18,2025-08-26,2025-09-02,2025-09-11,2025-09-19,Hired
C00175,Marketing Specialist,HR,Naukri,2023-10-25,2023-11-03,2023-11-09,2023-11-10,,Dropped
C00176,Product Manager,Marketing,Naukri,2024-10-13,2024-10-16,2024-10-21,,,Rejected
C00177,Sales Executive,Product,Naukri,2024-10-11,2024-10-21,2024-10-26,2024-11-03,2024-11-18,Hired
C00178,Data Scientist,HR,Naukri,2023-10-08,2023-10-11,2023-10-15,2023-10-24,2023-11-03,Hired
C00179,Sales Executive,Tech,AngelList,2025-05-27,2025-06-03,2025-06-18,2025-06-24,,Dropped
C00180,Software Engineer,Sales,Naukri,2024-07-05,2024-07-07,2024-07-21,2024-07-29,2024-08-03,Hired
C00181,Marketing Specialist,Marketing,Company Website,2024-04-16,2024-04-23,,,,Hired
C00182,Product Manager,HR,AngelList,2025-04-07,2025-04-14,2025-04-20,2025-04-21,,Rejected
C00183,Marketing Specialist,Marketing,Company Website,2024-11-25,2024-12-02,,,,Rejected
C00184,Sales Executive,Marketing,AngelList,2023-11-02,2023-11-09,,,,Hired
C00185,Sales Executive,Tech,LinkedIn,2025-09-05,2025-09-12,,,,Hired
C00186,Data Scientist,Tech,Referral,2023-11-30,2023-12-07,2023-12-20,,,Dropped
C00187,Data Scientist,HR,Naukri,2025-03-03,2025-03-06,2025-03-13,2025-03-23,2025-04-06,Hired
C00188,Product Manager,HR,Naukri,2024-09-08,2024-09-09,,,,Hired
C00189,Data Scientist,Marketing,LinkedIn,2024-01-25,2024-01-28,2024-02-09,2024-02-14,,Rejected
C00190,Sales Executive,Marketing,LinkedIn,2025-08-23,,,,,Hired
C00191,Sales Executive,Marketing,LinkedIn,2024-04-08,,,,,Rejected
C00192,Software Engineer,Tech,Company Website,2024-06-28,2024-07-06,2024-07-10,,,Hired
C00193,Sales Executive,Marketing,Referral,2024-01-20,2024-01-26,,,,Rejected
C00194,Product Manager,Product,Company Website,2025-06-27,2025-07-01,2025-07-07,2025-07-14,,Dropped
C00195,HR Manager,HR,Referral,2024-07-03,2024-07-04,2024-07-16,2024-07-26,,Dropped
C00196,Software Engineer,HR,LinkedIn,2025-02-15,2025-02-22,2025-03-02,,,Rejected
C00197,Software Engineer,Sales,Company Website,2024-10-26,2024-10-27,2024-10-30,,,Dropped
C00198,Product Manager,Product,LinkedIn,2025-05-24,2025-05-28,2025-06-10,,,Hired
C00199,Product Manager,Marketing,Company Website,2024-12-05,2024-12-14,2024-12-29,2025-01-04,,Rejected
C00200,Data Scientist,Tech,Naukri,2023-12-24,2024-01-03,2024-01-14,,,Hired
C00201,Software Engineer,Sales,Naukri,2024-03-31,2024-04-02,,,,Rejected
C00202,Data Scientist,Tech,Company Website,2023-09-14,,,,,Dropped
C00203,Sales Executive,Tech,LinkedIn,2024-01-02,2024-01-12,2024-01-17,2024-01-21,,Rejected
C00204,Software Engineer,Marketing,Naukri,2025-07-15,2025-07-20,2025-07-31,2025-08-05,,Rejected
C00205,Software Engineer,Marketing,Referral,2023-11-15,2023-11-24,2023-12-02,2023-12-07,,Rejected
C00206,Marketing Specialist,Marketing,Naukri,2023-09-26,2023-09-30,2023-10-11,2023-10-19,2023-11-07,Hired
C00207,HR Manager,Product,Naukri,2024-02-06,2024-02-09,2024-02-14,,,Rejected
C00208,Software Engineer,Product,Referral,2025-09-08,2025-09-10,2025-09-19,,,Hired
C00209,Sales Executive,Product,AngelList,2024-12-15,,,,,Dropped
C00210,Data Scientist,Sales,Naukri,2025-02-16,2025-02-26,2025-03-13,2025-03-15,,Rejected
C00211,Data Scientist,Tech,LinkedIn,2024-02-01,2024-02-02,2024-02-15,2024-02-22,,Dropped
C00212,Marketing Specialist,Marketing,Referral,2024-11-21,2024-11-26,,,,Rejected
C00213,HR Manager,Marketing,LinkedIn,2024-10-02,2024-10-10,2024-10-20,2024-10-27,2024-11-03,Hired
C00214,Sales Executive,Marketing,LinkedIn,2025-08-18,2025-08-24,2025-09-01,2025-09-07,2025-09-12,Hired
C00215,Data Scientist,Product,LinkedIn,2024-07-25,2024-07-30,2024-08-08,,,Hired
C00216,Product Manager,Product,Company Website,2024-10-02,2024-10-10,2024-10-13,2024-10-18,,Dropped
C00217,Sales Executive,Product,Company Website,2025-04-13,2025-04-16,2025-04-20,2025-04-22,,Rejected
C00218,Sales Executive,Marketing,Referral,2025-01-19,2025-01-28,2025-02-10,,,Rejected
C00219,HR Manager,HR,AngelList,2024-02-22,,,,,Rejected
C00220,Data Scientist,Tech,Referral,2025-03-07,,,,,Dropped
C00221,Sales Executive,Product,LinkedIn,2024-01-16,2024-01-22,2024-01-31,2024-02-03,2024-02-20,Hired
C00222,Marketing Specialist,Tech,Referral,2024-12-17,2024-12-20,,,,Dropped
C00223,Marketing Specialist,Marketing,Company Website,2024-09-23,2024-09-30,2024-10-07,2024-10-08,,Rejected
C00224,Data Scientist,Product,Referral,2023-10-14,2023-10-23,2023-10-31,,,Dropped
C00225,Marketing Specialist,Sales,Company Website,2025-08-18,2025-08-27,2025-09-08,2025-09-09,,Dropped
C00226,Product Manager,Product,Company Website,2025-07-26,2025-08-01,2025-08-12,2025-08-16,,Dropped
C00227,HR Manager,Tech,LinkedIn,2024-10-20,2024-10-27,2024-11-06,,,Dropped
C00228,Marketing Specialist,Sales,LinkedIn,2024-12-29,2025-01-01,2025-01-03,2025-01-04,,Dropped
C00229,Marketing Specialist,Marketing,Naukri,2024-01-25,2024-01-30,2024-02-01,,,Rejected
C00230,Product Manager,Marketing,Naukri,2023-12-08,2023-12-12,,,,Dropped
C00231,HR Manager,Tech,LinkedIn,2025-03-12,2025-03-13,2025-03-15,,,Dropped
C00232,Sales Executive,Marketing,LinkedIn,2024-01-29,2024-02-01,2024-02-15,2024-02-20,,Rejected
C00233,HR Manager,Product,Company Website,2024-04-15,2024-04-23,2024-05-08,,,Rejected
C00234,Software Engineer,Sales,LinkedIn,2025-07-30,,,,,Rejected
C00235,Data Scientist,Marketing,AngelList,2024-11-07,2024-11-15,,,,Dropped
C00236,Data Scientist,Marketing,Referral,2023-10-01,2023-10-07,2023-10-21,,,Rejected
C00237,Software Engineer,Tech,LinkedIn,2024-01-13,2024-01-23,2024-01-26,2024-02-05,,Dropped
C00238,Product Manager,HR,Company Website,2023-12-06,2023-12-08,,,,Dropped
C00239,Software Engineer,Sales,Naukri,2024-03-03,,,,,Dropped
C00240,Sales Executive,HR,Company Website,2024-08-30,2024-09-04,2024-09-09,2024-09-17,2024-09-29,Hired
C00241,Sales Executive,Marketing,Company Website,2025-04-02,2025-04-11,2025-04-25,2025-05-02,2025-05-05,Hired
C00242,Data Scientist,Sales,LinkedIn,2024-07-15,2024-07-24,2024-08-07,2024-08-16,2024-08-29,Hired
C00243,Sales Executive,Marketing,Naukri,2025-05-06,,,,,Rejected
C00244,Data Scientist,HR,Referral,2024-01-22,2024-01-25,,,,Hired
C00245,Software Engineer,Product,AngelList,2024-06-23,2024-06-26,2024-07-01,,,Dropped
C00246,Software Engineer,HR,Referral,2024-10-01,2024-10-05,2024-10-13,2024-10-23,,Dropped
C00247,Marketing Specialist,Product,Referral,2025-08-27,2025-08-31,2025-09-03,,,Dropped
C00248,Marketing Specialist,Sales,AngelList,2025-01-19,2025-01-29,2025-02-07,,,Dropped
C00249,Software Engineer,Product,AngelList,2025-06-17,2025-06-18,2025-06-22,2025-06-27,,Rejected
C00250,Data Scientist,Marketing,Company Website,2024-09-06,2024-09-15,2024-09-22,2024-09-27,,Rejected
C00251,Software Engineer,HR,LinkedIn,2025-04-16,2025-04-24,2025-05-02,,,Rejected
C00252,Software Engineer,Sales,Referral,2024-05-22,2024-05-29,2024-06-11,2024-06-12,,Rejected
C00253,Product Manager,Marketing,LinkedIn,2024-07-30,,,,,Dropped
C00254,Software Engineer,Marketing,Company Website,2025-09-11,2025-09-18,2025-09-21,,,Rejected
C00255,Sales Executive,Sales,Naukri,2024-07-23,2024-07-26,,,,Hired
C00256,Data Scientist,Marketing,Referral,2023-10-19,2023-10-28,,,,Rejected
C00257,Product Manager,HR,AngelList,2025-07-18,2025-07-22,2025-07-31,2025-08-09,,Rejected
C00258,Marketing Specialist,Product,Company Website,2025-05-22,2025-05-31,2025-06-13,2025-06-20,,Dropped
C00259,HR Manager,HR,AngelList,2025-05-22,2025-05-26,2025-05-30,2025-06-04,,Rejected
C00260,Data Scientist,Sales,Naukri,2025-05-24,2025-05-30,2025-06-13,2025-06-16,2025-06-18,Hired
C00261,Sales Executive,Tech,LinkedIn,2024-06-05,2024-06-12,2024-06-19,,,Hired
C00262,Data Scientist,Marketing,LinkedIn,2025-07-09,2025-07-15,2025-07-17,,,Rejected
C00263,Marketing Specialist,HR,AngelList,2024-12-01,2024-12-06,2024-12-12,2024-12-17,,Dropped
C00264,Sales Executive,HR,Company Website,2024-03-08,2024-03-17,,,,Dropped
C00265,Sales Executive,HR,LinkedIn,2024-12-16,2024-12-21,2025-01-03,2025-01-05,2025-01-10,Hired
C00266,HR Manager,HR,LinkedIn,2025-03-24,2025-03-27,,,,Rejected
C00267,Data Scientist,Product,Company Website,2025-04-28,2025-05-02,2025-05-13,,,Hired
C00268,HR Manager,Marketing,Company Website,2024-10-12,2024-10-13,2024-10-25,2024-10-29,,Rejected
C00269,HR Manager,Tech,AngelList,2025-08-13,2025-08-18,2025-08-27,,,Rejected
C00270,Data Scientist,Marketing,LinkedIn,2024-08-15,2024-08-21,2024-09-05,2024-09-14,2024-09-26,Hired
C00271,Software Engineer,Marketing,Company Website,2024-05-28,2024-06-02,,,,Dropped
C00272,Software Engineer,Sales,AngelList,2025-07-12,2025-07-20,2025-07-24,2025-07-28,,Rejected
C00273,Marketing Specialist,HR,Naukri,2024-12-09,2024-12-16,,,,Rejected
C00274,HR Manager,HR,Naukri,2024-07-26,2024-08-01,2024-08-04,2024-08-12,,Rejected
C00275,Product Manager,Product,Referral,2023-10-19,2023-10-27,2023-11-02,2023-11-08,2023-11-26,Hired
C00276,HR Manager,Tech,Company Website,2024-06-22,2024-06-26,2024-07-01,,,Rejected
C00277,HR Manager,Tech,Referral,2023-11-05,2023-11-15,,,,Rejected
C00278,HR Manager,Sales,AngelList,2025-08-09,2025-08-18,,,,Hired
C00279,Marketing Specialist,Sales,LinkedIn,2023-11-24,2023-12-03,2023-12-06,2023-12-14,,Rejected
C00280,Software Engineer,Sales,Company Website,2024-09-20,2024-09-24,2024-10-04,,,Hired
C00281,Marketing Specialist,HR,Naukri,9999-99-99,2025-01-29,,,,Dropped
